timestamp,accel_x,accel_y,accel_z,gyro_alpha,gyro_beta,gyro_gamma
1778763937209,0.6000000000000001,-0.1,9.9,-0.1,0,0
1778763937227,0.6000000000000001,-0.1,9.9,0,0,0
1778763937244,0.6000000000000001,-0.1,9.9,-0.1,0,0
1778763937259,0.6000000000000001,-0.2,9.9,0.1,-0.1,0
1778763937276,0.6000000000000001,-0.1,9.9,0,-0.1,0
1778763937293,0.6000000000000001,-0.1,9.9,0.1,0,0
1778763937310,0.6000000000000001,-0.1,9.9,0,-0.1,0
1778763937328,0.6000000000000001,-0.1,9.9,0,0,0
1778763937342,0.6000000000000001,-0.1,9.9,0,0.1,0
1778763937359,0.6000000000000001,-0.1,9.9,0,0.1,0
1778763937376,0.6000000000000001,-0.1,9.9,0,0,0
1778763937393,0.6000000000000001,-0.1,9.9,-0.1,0,0
1778763937410,0.6000000000000001,-0.1,9.9,0,0,0
1778763937425,0.6000000000000001,-0.1,9.9,0,0,0
1778763937443,0.6000000000000001,-0.1,9.9,0.1,0,0.1
1778763937459,0.6000000000000001,-0.1,9.9,-0.1,0,0.1
1778763937476,0.5,-0.1,9.9,0.1,0,0
1778763937492,0.5,-0.1,9.9,0.1,0,0
1778763937509,0.6000000000000001,-0.2,9.9,0.1,-0.1,-0.1
1778763937527,0.6000000000000001,-0.1,9.9,0,0,0
1778763937543,0.6000000000000001,-0.1,9.9,0.1,-0.1,0
1778763937559,0.6000000000000001,-0.1,9.9,0,0,0
1778763937579,0.6000000000000001,-0.1,9.9,0.1,0,0
1778763937592,0.6000000000000001,-0.1,9.9,0.1,0,0
1778763937609,0.6000000000000001,-0.1,9.9,0.1,0,0
1778763937627,0.6000000000000001,-0.1,9.9,0.1,-0.1,0
1778763937642,0.5,-0.1,9.9,0.1,0,0
1778763937663,0.6000000000000001,-0.2,9.9,0,0,0.1
1778763937676,0.6000000000000001,-0.1,9.9,0,0,0
1778763937692,0.6000000000000001,-0.1,9.9,0,0,0
1778763937709,0.6000000000000001,-0.1,9.9,0,0,0
1778763937727,0.6000000000000001,-0.1,9.9,0,-0.1,0
1778763937745,0.6000000000000001,-0.1,9.9,0,-0.1,0
1778763937759,0.6000000000000001,-0.2,9.9,0,0,0
1778763937776,0.6000000000000001,-0.1,9.9,-0.1,0,0
1778763937793,0.6000000000000001,-0.1,9.9,0,0,0
1778763937809,0.6000000000000001,-0.2,9.9,0,0,0
1778763937826,0.6000000000000001,-0.2,9.9,0.1,0,0
1778763937843,0.6000000000000001,-0.2,9.9,0.1,0,-0.1
1778763937860,0.6000000000000001,-0.1,9.9,-0.1,0,0
1778763937876,0.6000000000000001,-0.1,9.9,0,0,0
1778763937892,0.6000000000000001,-0.1,9.9,0,0,-0.1
1778763937910,0.6000000000000001,-0.1,9.9,0,0,0
1778763937926,0.4,-0.2,9.9,0.30000000000000004,-0.30000000000000004,-0.2
1778763937943,0.7000000000000001,0.1,10.100000000000001,-1.2000000000000002,0.8,1.4
1778763937959,0.4,-0.2,10,0.1,0.2,2.2
1778763937976,0.5,0.1,9.9,0.1,-0.1,2.2
1778763937993,0.5,0,9.9,-0.1,0,3.7000000000000006
1778763938009,0.4,-0.1,9.9,-0.1,0,4.9
1778763938026,0.5,0,9.9,0.2,-0.1,4.9
1778763938044,0.7000000000000001,-0.4,9.9,0.2,-0.1,4.4
1778763938059,0.7000000000000001,-0.30000000000000004,9.9,0.1,0,3.9
1778763938077,0.6000000000000001,-0.2,9.9,0,-0.1,2.9
1778763938093,0.4,0,9.9,-0.1,-0.1,2.2
1778763938111,0.5,0.2,9.9,0,-0.1,4.6
1778763938126,0.5,0.2,9.9,0.1,-0.2,5.8
1778763938142,0.5,-0.2,9.9,0,0,6.9
1778763938159,0.6000000000000001,-0.2,9.9,0,0,7.1000000000000005
1778763938176,0.6000000000000001,-0.1,9.9,0.2,0,7.200000000000001
1778763938193,0.5,0.1,9.9,0.1,0,7.400000000000001
1778763938209,0.4,0.1,9.9,0.1,0,8.100000000000001
1778763938226,0.5,0.1,9.9,0.2,-0.2,10
1778763938243,0.4,0.30000000000000004,9.9,0.2,-0.2,12.200000000000001
1778763938260,0.2,0.2,9.9,0.1,0.1,13.6
1778763938276,0.5,0.2,9.8,0.4,-0.2,16.3
1778763938292,0.5,0.2,10,0.1,-0.6000000000000001,18.900000000000002
1778763938308,0.5,0.1,9.700000000000001,0.2,-0.7,20.3
1778763938325,0.4,0,9.9,0.1,0.5,22.1
1778763938343,0.5,-0.1,10,0.4,-0.30000000000000004,22.6
1778763938359,0.5,0.1,9.8,0.7,-0.6000000000000001,23.6
1778763938376,0.5,-0.4,10,0.4,0.2,24.200000000000003
1778763938393,0.7000000000000001,-0.2,9.9,0.30000000000000004,0,24
1778763938410,0.6000000000000001,-0.4,10,-0.1,0.4,22.6
1778763938426,0.6000000000000001,-0.6000000000000001,9.9,0.2,0,20.5
1778763938444,0.5,-0.7000000000000001,9.9,0.4,-0.4,18.8
1778763938459,0.8,-0.5,9.8,0.7,-0.6000000000000001,14.400000000000002
1778763938476,0.8,-0.5,9.9,0.4,-0.1,11.3
1778763938494,0.6000000000000001,-0.5,9.9,0.4,0,10.299999999999999
1778763938509,0.7000000000000001,-0.4,9.9,0.1,0,8.3
1778763938525,0.7000000000000001,-0.5,9.9,0.4,-0.30000000000000004,7.200000000000001
1778763938544,0.7000000000000001,-0.4,9.9,0.2,-0.1,5.300000000000001
1778763938559,0.6000000000000001,-0.4,9.9,0.2,-0.1,3.6000000000000005
1778763938576,0.7000000000000001,-0.6000000000000001,9.9,0.2,-0.1,0.9000000000000001
1778763938593,0.6000000000000001,-0.4,9.9,0.4,-0.2,-0.4
1778763938609,0.4,-0.9,9.9,0.5,-0.1,-2.1
1778763938627,0.6000000000000001,-1.2000000000000002,10,0.8,-0.1,-4.5
1778763938642,1.4000000000000001,-2.5,9.9,0.2,0.2,-14.700000000000001
1778763938659,1.4000000000000001,-4.3,9.600000000000001,0.4,-0.5,-35.9
1778763938679,2.1,-5.6000000000000005,9.8,-0.4,1,-49.6
1778763938693,2.1,-6.2,9.3,-0.30000000000000004,0.8,-87.80000000000001
